2026-08-22 16:51:56,085 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 16:52:00,546 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-22 16:52:00,563 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 16:52:00,782 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:52:10,529 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:52:10,530 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:52:10,691 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.00s
2026-08-22 16:52:10,693 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:52:10,784 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:52:13,552 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:52:13,552 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:52:20,785 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:52:25,563 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-22 16:52:25,563 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:52:30,788 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:52:40,790 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:52:43,698 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:52:43,698 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:52:43,824 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.02s
2026-08-22 16:52:43,824 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:52:46,765 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:52:46,766 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:52:50,792 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:52:59,387 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
